Matrix Size,Total Time (ms),Upload Time (ms),Compute Time (ms),Network Transfer (MB),Transfer Rate (MB/s),Memory Before (MB),Memory After (MB),Memory Used (MB),CPU Before (%),CPU After (%),Num Workers
10,165,35,130,0.00152587890625,0.043472333511396004,25,26,1,42.857142857142854,5.138339920948616,4
100,64,15,49,0.152587890625,10.105158319536425,27,30,3,33.33333333333333,8.653846153846153,4
500,176,79,97,3.814697265625,48.22626125948167,34,43,9,10.256410256410255,15.384615384615385,4
1000,1789,203,1586,15.2587890625,75.12943900787789,58,137,79,5.511811023622047,1.926444833625219,4
3000,157766,2056,155710,137.3291015625,66.79106150600651,243,964,721,7.4877536738978305,0.2047151277013753,4
