Matrix Size,Total Time (ms),Upload Time (ms),Compute Time (ms),Network Transfer (MB),Transfer Rate (MB/s),Memory Before (MB),Memory After (MB),Memory Used (MB),CPU Before (%),CPU After (%),Num Workers
10x10,2935.5688,8.88359999999999,2926.6852,0.00152587890625,0.17176357628101235,34.6640625,38.47265625,3.80859375,16.9,12.8,4
100x100,35410.385200000004,15225.171100000005,20185.214100000005,0.152587890625,0.01002208051540386,38.4375,40.33984375,1.90234375,87.5,5.8,4
500x500,32142.381299999997,16194.295199999999,15948.086099999997,3.814697265625,0.23555809119899213,40.2734375,62.8125,22.5390625,22.2,7.2,4
1000x1000,41217.84230000002,18683.211899999988,22534.630400000027,15.2587890625,0.81671123488676,62.74609375,89.59375,26.84765625,14.6,6.2,4
3000x3000,96701.42080000002,50899.7358,45801.68500000002,137.3291015625,2.698031716748125,89.53125,608.87890625,519.34765625,0.0,15.4,4
