"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: matrixSize","Param: sparsity"
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.alloc.rate","avgt",1,2,"81,349609",NaN,"MB/sec",100,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.alloc.rate.norm","avgt",1,2,"82026,334798",NaN,"B/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"58,151889",NaN,"MB/sec",100,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"58642,878156",NaN,"B/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,019238",NaN,"MB/sec",100,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"19,210287",NaN,"B/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.count","avgt",1,2,"2,000000",NaN,"counts",100,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.time","avgt",1,2,"5,000000",NaN,"ms",100,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication","avgt",1,2,"0,758763",NaN,"ms/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.alloc.rate","avgt",1,2,"82,672919",NaN,"MB/sec",100,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.alloc.rate.norm","avgt",1,2,"82031,372912",NaN,"B/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"87,138355",NaN,"MB/sec",100,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"88037,137896",NaN,"B/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,022314",NaN,"MB/sec",100,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"23,254344",NaN,"B/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.count","avgt",1,2,"3,000000",NaN,"counts",100,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.time","avgt",1,2,"9,000000",NaN,"ms",100,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication","avgt",1,2,"2600,867625",NaN,"ms/op",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.alloc.rate","avgt",1,2,"2,850832",NaN,"MB/sec",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.alloc.rate.norm","avgt",1,2,"8020322,000000",NaN,"B/op",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.count","avgt",1,2,"0,000000",NaN,"counts",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication","avgt",1,2,"2748,671675",NaN,"ms/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.alloc.rate","avgt",1,2,"2,767738",NaN,"MB/sec",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.alloc.rate.norm","avgt",1,2,"8020322,000000",NaN,"B/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.count","avgt",1,2,"0,000000",NaN,"counts",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication","avgt",1,2,"2664,973800",NaN,"ms/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.alloc.rate","avgt",1,2,"2,668376",NaN,"MB/sec",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.alloc.rate.norm","avgt",1,2,"8026974,000000",NaN,"B/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"3,239225",NaN,"MB/sec",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"7864320,000000",NaN,"B/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.count","avgt",1,2,"1,000000",NaN,"counts",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.time","avgt",1,2,"5,000000",NaN,"ms",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication","avgt",1,2,"0,001134",NaN,"ms/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate","avgt",1,2,"682,048563",NaN,"MB/sec",10,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate.norm","avgt",1,2,"1016,111636",NaN,"B/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"647,604196",NaN,"MB/sec",10,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"964,315898",NaN,"B/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,466060",NaN,"MB/sec",10,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"0,657465",NaN,"B/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.count","avgt",1,2,"15,000000",NaN,"counts",10,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.time","avgt",1,2,"24,000000",NaN,"ms",10,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication","avgt",1,2,"0,001181",NaN,"ms/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate","avgt",1,2,"654,199001",NaN,"MB/sec",10,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate.norm","avgt",1,2,"1016,116355",NaN,"B/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"653,546051",NaN,"MB/sec",10,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"1014,300966",NaN,"B/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,464726",NaN,"MB/sec",10,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"0,688937",NaN,"B/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.count","avgt",1,2,"15,000000",NaN,"counts",10,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.time","avgt",1,2,"26,000000",NaN,"ms",10,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication","avgt",1,2,"0,001120",NaN,"ms/op",10,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate","avgt",1,2,"692,377857",NaN,"MB/sec",10,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate.norm","avgt",1,2,"1016,117494",NaN,"B/op",10,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"690,429917",NaN,"MB/sec",10,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"1015,118788",NaN,"B/op",10,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,476958",NaN,"MB/sec",10,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"0,674575",NaN,"B/op",10,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.count","avgt",1,2,"16,000000",NaN,"counts",10,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.time","avgt",1,2,"25,000000",NaN,"ms",10,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication","avgt",1,2,"0,703860",NaN,"ms/op",100,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate","avgt",1,2,"88,873496",NaN,"MB/sec",100,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate.norm","avgt",1,2,"82029,895743",NaN,"B/op",100,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"88,275706",NaN,"MB/sec",100,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"80463,003073",NaN,"B/op",100,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,004831",NaN,"MB/sec",100,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"4,276975",NaN,"B/op",100,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.count","avgt",1,2,"3,000000",NaN,"counts",100,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.time","avgt",1,2,"4,000000",NaN,"ms",100,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication","avgt",1,2,"0,712490",NaN,"ms/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate","avgt",1,2,"87,615131",NaN,"MB/sec",100,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate.norm","avgt",1,2,"82034,912801",NaN,"B/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"115,924788",NaN,"MB/sec",100,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"108717,588827",NaN,"B/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,011190",NaN,"MB/sec",100,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"10,659030",NaN,"B/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.count","avgt",1,2,"4,000000",NaN,"counts",100,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.time","avgt",1,2,"13,000000",NaN,"ms",100,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication","avgt",1,2,"0,725343",NaN,"ms/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate","avgt",1,2,"86,712216",NaN,"MB/sec",100,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate.norm","avgt",1,2,"82030,076505",NaN,"B/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"86,994914",NaN,"MB/sec",100,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"80552,382388",NaN,"B/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,011093",NaN,"MB/sec",100,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"9,660303",NaN,"B/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.count","avgt",1,2,"3,000000",NaN,"counts",100,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.time","avgt",1,2,"10,000000",NaN,"ms",100,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication","avgt",1,2,"1837,657650",NaN,"ms/op",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate","avgt",1,2,"3,662372",NaN,"MB/sec",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate.norm","avgt",1,2,"8020220,000000",NaN,"B/op",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.count","avgt",1,2,"0,000000",NaN,"counts",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication","avgt",1,2,"1794,531275",NaN,"ms/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate","avgt",1,2,"3,736753",NaN,"MB/sec",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate.norm","avgt",1,2,"8020220,000000",NaN,"B/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.count","avgt",1,2,"0,000000",NaN,"counts",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication","avgt",1,2,"1857,829300",NaN,"ms/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate","avgt",1,2,"3,642435",NaN,"MB/sec",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.alloc.rate.norm","avgt",1,2,"8026872,000000",NaN,"B/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"3,812117",NaN,"MB/sec",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"7864320,000000",NaN,"B/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.count","avgt",1,2,"1,000000",NaN,"counts",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testOptimizedMultiplication:·gc.time","avgt",1,2,"8,000000",NaN,"ms",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication","avgt",1,2,"0,026093",NaN,"ms/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate","avgt",1,2,"1173,545440",NaN,"MB/sec",10,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate.norm","avgt",1,2,"40115,933319",NaN,"B/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"1196,845555",NaN,"MB/sec",10,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"40898,965636",NaN,"B/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,447678",NaN,"MB/sec",10,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"15,838253",NaN,"B/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.count","avgt",1,2,"23,000000",NaN,"counts",10,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.time","avgt",1,2,"33,000000",NaN,"ms",10,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication","avgt",1,2,"0,008053",NaN,"ms/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate","avgt",1,2,"1195,197509",NaN,"MB/sec",10,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate.norm","avgt",1,2,"12649,169522",NaN,"B/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"1174,280037",NaN,"MB/sec",10,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"12443,084092",NaN,"B/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,033759",NaN,"MB/sec",10,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"0,356365",NaN,"B/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.count","avgt",1,2,"22,000000",NaN,"counts",10,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.time","avgt",1,2,"31,000000",NaN,"ms",10,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication","avgt",1,2,"0,002108",NaN,"ms/op",10,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate","avgt",1,2,"1392,151737",NaN,"MB/sec",10,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate.norm","avgt",1,2,"3856,374701",NaN,"B/op",10,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"1427,844551",NaN,"MB/sec",10,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"3954,790452",NaN,"B/op",10,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,022097",NaN,"MB/sec",10,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"0,062661",NaN,"B/op",10,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.count","avgt",1,2,"27,000000",NaN,"counts",10,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.time","avgt",1,2,"38,000000",NaN,"ms",10,0.8
