"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: matrixSize","Param: sparsity"
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"2212806,308959",NaN,"B/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,773247",NaN,"MB/sec",100,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"2317,072981",NaN,"B/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.count","avgt",1,2,"15,000000",NaN,"counts",100,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.time","avgt",1,2,"28,000000",NaN,"ms",100,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication","avgt",1,2,"92882,786400",NaN,"ms/op",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate","avgt",1,2,"1090,074461",NaN,"MB/sec",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate.norm","avgt",1,2,"106739578312,000000",NaN,"B/op",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"1089,958876",NaN,"MB/sec",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"106728259584,000000",NaN,"B/op",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,171190",NaN,"MB/sec",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"16785996,000000",NaN,"B/op",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.count","avgt",1,2,"226,000000",NaN,"counts",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.time","avgt",1,2,"4305,000000",NaN,"ms",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication","avgt",1,2,"30005,014350",NaN,"ms/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate","avgt",1,2,"1031,513667",NaN,"MB/sec",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate.norm","avgt",1,2,"32976276704,000000",NaN,"B/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"1036,546796",NaN,"MB/sec",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"33143390208,000000",NaN,"B/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,403318",NaN,"MB/sec",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"12856756,000000",NaN,"B/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.count","avgt",1,2,"78,000000",NaN,"counts",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.time","avgt",1,2,"2886,000000",NaN,"ms",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication","avgt",1,2,"3993,648700",NaN,"ms/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate","avgt",1,2,"1193,190545",NaN,"MB/sec",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.alloc.rate.norm","avgt",1,2,"5314008128,000000",NaN,"B/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"1230,664946",NaN,"MB/sec",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"5491392512,000000",NaN,"B/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"2,393382",NaN,"MB/sec",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"9241504,000000",NaN,"B/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.count","avgt",1,2,"16,000000",NaN,"counts",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testSparseMultiplication:·gc.time","avgt",1,2,"517,000000",NaN,"ms",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication","avgt",1,2,"0,816284",NaN,"ms/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate","avgt",1,2,"717,205327",NaN,"MB/sec",10,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate.norm","avgt",1,2,"768315,291696",NaN,"B/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"730,273832",NaN,"MB/sec",10,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"781736,640314",NaN,"B/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,479733",NaN,"MB/sec",10,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"497,571277",NaN,"B/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.count","avgt",1,2,"17,000000",NaN,"counts",10,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.time","avgt",1,2,"29,000000",NaN,"ms",10,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication","avgt",1,2,"0,779526",NaN,"ms/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate","avgt",1,2,"747,764475",NaN,"MB/sec",10,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate.norm","avgt",1,2,"768311,071696",NaN,"B/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"745,369305",NaN,"MB/sec",10,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"766058,938676",NaN,"B/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,494069",NaN,"MB/sec",10,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"509,715247",NaN,"B/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.count","avgt",1,2,"17,000000",NaN,"counts",10,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.time","avgt",1,2,"30,000000",NaN,"ms",10,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication","avgt",1,2,"0,833747",NaN,"ms/op",10,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate","avgt",1,2,"701,756286",NaN,"MB/sec",10,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate.norm","avgt",1,2,"768306,059194",NaN,"B/op",10,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"689,421137",NaN,"MB/sec",10,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"753958,262031",NaN,"B/op",10,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,494323",NaN,"MB/sec",10,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"522,714716",NaN,"B/op",10,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.count","avgt",1,2,"15,000000",NaN,"counts",10,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.time","avgt",1,2,"34,000000",NaN,"ms",10,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication","avgt",1,2,"271,990225",NaN,"ms/op",100,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate","avgt",1,2,"762,697513",NaN,"MB/sec",100,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate.norm","avgt",1,2,"268251276,000000",NaN,"B/op",100,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"772,165174",NaN,"MB/sec",100,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"271581184,000000",NaN,"B/op",100,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,271670",NaN,"MB/sec",100,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"95359,500000",NaN,"B/op",100,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.count","avgt",1,2,"28,000000",NaN,"counts",100,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.time","avgt",1,2,"36,000000",NaN,"ms",100,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication","avgt",1,2,"273,603825",NaN,"ms/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate","avgt",1,2,"757,943252",NaN,"MB/sec",100,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate.norm","avgt",1,2,"268251338,000000",NaN,"B/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"767,351721",NaN,"MB/sec",100,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"271581184,000000",NaN,"B/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,271729",NaN,"MB/sec",100,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"96162,500000",NaN,"B/op",100,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.count","avgt",1,2,"28,000000",NaN,"counts",100,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.time","avgt",1,2,"31,000000",NaN,"ms",100,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication","avgt",1,2,"276,728859",NaN,"ms/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate","avgt",1,2,"744,344701",NaN,"MB/sec",100,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate.norm","avgt",1,2,"268250815,714286",NaN,"B/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"746,319078",NaN,"MB/sec",100,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"268809947,428571",NaN,"B/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,277165",NaN,"MB/sec",100,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"99530,785714",NaN,"B/op",100,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.count","avgt",1,2,"26,000000",NaN,"counts",100,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.time","avgt",1,2,"32,000000",NaN,"ms",100,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication","avgt",1,2,"180500,353850",NaN,"ms/op",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate","avgt",1,2,"486,150477",NaN,"MB/sec",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate.norm","avgt",1,2,"92271928360,000000",NaN,"B/op",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"486,552231",NaN,"MB/sec",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"92345991168,000000",NaN,"B/op",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,400088",NaN,"MB/sec",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"75933476,000000",NaN,"B/op",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.count","avgt",1,2,"181,000000",NaN,"counts",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.time","avgt",1,2,"875,000000",NaN,"ms",1000,0.1
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication","avgt",1,2,"186368,436550",NaN,"ms/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate","avgt",1,2,"470,934116",NaN,"MB/sec",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate.norm","avgt",1,2,"92276137264,000000",NaN,"B/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.CodeHeap_'non-profiled_nmethods'","avgt",1,2,"0,000066",NaN,"MB/sec",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.CodeHeap_'non-profiled_nmethods'.norm","avgt",1,2,"13056,000000",NaN,"B/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.CodeHeap_'profiled_nmethods'","avgt",1,2,"0,000899",NaN,"MB/sec",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.CodeHeap_'profiled_nmethods'.norm","avgt",1,2,"177600,000000",NaN,"B/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"471,433452",NaN,"MB/sec",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"92374302720,000000",NaN,"B/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Old_Gen","avgt",1,2,"0,470895",NaN,"MB/sec",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Old_Gen.norm","avgt",1,2,"92268496,000000",NaN,"B/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,677650",NaN,"MB/sec",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"132793448,000000",NaN,"B/op",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.count","avgt",1,2,"595,000000",NaN,"counts",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.time","avgt",1,2,"1373,000000",NaN,"ms",1000,0.5
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication","avgt",1,2,"192538,688950",NaN,"ms/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate","avgt",1,2,"456,190881",NaN,"MB/sec",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.alloc.rate.norm","avgt",1,2,"92275684104,000000",NaN,"B/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"456,627730",NaN,"MB/sec",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"92371156992,000000",NaN,"B/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Old_Gen","avgt",1,2,"0,418325",NaN,"MB/sec",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Old_Gen.norm","avgt",1,2,"87018236,000000",NaN,"B/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,632928",NaN,"MB/sec",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"127901312,000000",NaN,"B/op",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.count","avgt",1,2,"563,000000",NaN,"counts",1000,0.8
"org.example.MatrixMultiplicationBenchmark.testStrassenMultiplication:·gc.time","avgt",1,2,"1386,000000",NaN,"ms",1000,0.8
