"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: MATRIX_SIZE","Param: NUM_THREADS"
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.count","avgt",1,15,"10,000000",NaN,"counts",1000,4
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.time","avgt",1,15,"105,000000",NaN,"ms",1000,4
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication","avgt",1,15,"0,131623","0,010844","ms/op",10,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate","avgt",1,15,"28,927144","2,145123","MB/sec",10,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate.norm","avgt",1,15,"3973,190933","8,982143","B/op",10,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.count","avgt",1,15,"5,000000",NaN,"counts",10,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.time","avgt",1,15,"10,000000",NaN,"ms",10,1
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication","avgt",1,15,"0,191708","0,013785","ms/op",10,2
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate","avgt",1,15,"22,235553","1,599734","MB/sec",10,2
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate.norm","avgt",1,15,"4451,667532","2,516803","B/op",10,2
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.count","avgt",1,15,"11,000000",NaN,"counts",10,2
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.time","avgt",1,15,"21,000000",NaN,"ms",10,2
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication","avgt",1,15,"0,306216","0,025079","ms/op",10,4
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate","avgt",1,15,"17,190885","1,339666","MB/sec",10,4
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.alloc.rate.norm","avgt",1,15,"5492,002587","23,302940","B/op",10,4
"org.example.BenchmarkMatrixMultiplication.parallelMultiplication:gc.count","avgt",1,15,"151,000000",NaN,"counts",10,4
